Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,New_Product_ID,Sales,Order Date_new,Ship Date_new
11,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,FUR-TA-10001539,1706.184,9-Jun-22,14-Jun-22
12,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,TEC-PH-10002033,911.424,9-Jun-22,14-Jun-22
13,CA-2025-114412,15/04/2025,20/04/2025,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,OFF-PA-10002365,15.552,15-Apr-25,20-Apr-25
14,CA-2024-161389,5/12/2024,10/12/2024,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656,407.976,5-Dec-24,10-Dec-24
15,US-2023-118983,22/11/2023,26/11/2023,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311,68.81,22-Nov-23,26-Nov-23
16,US-2023-118983,22/11/2023,26/11/2023,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,2.544,22-Nov-23,26-Nov-23
17,CA-2022-105893,11/11/2022,18/11/2022,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186,665.88,11-Nov-22,18-Nov-22
18,CA-2022-167164,13/05/2022,15/05/2022,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,OFF-ST-10000107,55.5,13-May-22,15-May-22
19,CA-2022-143336,27/08/2022,1/9/2022,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,OFF-AR-10003056,8.56,27-Aug-22,1-Sep-22
20,CA-2022-143336,27/08/2022,1/9/2022,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,TEC-PH-10001949,213.48,27-Aug-22,1-Sep-22
21,CA-2022-143336,27/08/2022,1/9/2022,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215,22.72,27-Aug-22,1-Sep-22
22,CA-2024-137330,9/12/2024,13/12/2024,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,OFF-AR-10000246,19.46,9-Dec-24,13-Dec-24
23,CA-2024-137330,9/12/2024,13/12/2024,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492,60.34,9-Dec-24,13-Dec-24
24,US-2025-156909,16/07/2025,18/07/2025,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,71.372,16-Jul-25,18-Jul-25
25,CA-2023-106320,25/09/2023,30/09/2023,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,1044.63,25-Sep-23,30-Sep-23
26,CA-2024-121755,16/01/2024,20/01/2024,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,OFF-BI-10001634,11.648,16-Jan-24,20-Jan-24
27,CA-2024-121755,16/01/2024,20/01/2024,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,TEC-AC-10003027,90.57,16-Jan-24,20-Jan-24
28,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,3083.43,17-Sep-23,21-Sep-23
29,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,9.618,17-Sep-23,21-Sep-23
30,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004849,124.2,17-Sep-23,21-Sep-23
31,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,OFF-EN-10001509,3.264,17-Sep-23,21-Sep-23
32,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042,86.304,17-Sep-23,21-Sep-23
33,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525,6.858,17-Sep-23,21-Sep-23
34,US-2023-150630,17/09/2023,21/09/2023,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,OFF-AR-10001683,15.76,17-Sep-23,21-Sep-23
35,CA-2025-107727,19/10/2025,23/10/2025,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,OFF-PA-10000249,29.472,19-Oct-25,23-Oct-25
36,CA-2024-117590,8/12/2024,10/12/2024,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,TEC-PH-10004977,1097.544,8-Dec-24,10-Dec-24
37,CA-2024-117590,8/12/2024,10/12/2024,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,190.92,8-Dec-24,10-Dec-24
38,CA-2023-117415,27/12/2023,31/12/2023,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,113.328,27-Dec-23,31-Dec-23
39,CA-2023-117415,27/12/2023,31/12/2023,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,532.3992,27-Dec-23,31-Dec-23
40,CA-2023-117415,27/12/2023,31/12/2023,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,212.058,27-Dec-23,31-Dec-23
41,CA-2023-117415,27/12/2023,31/12/2023,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,TEC-PH-10000486,371.168,27-Dec-23,31-Dec-23
42,CA-2025-120999,10/9/2025,15/09/2025,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,147.168,10-Sep-25,15-Sep-25
43,CA-2024-101343,17/07/2024,22/07/2024,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479,77.88,17-Jul-24,22-Jul-24
44,CA-2025-139619,19/09/2025,23/09/2025,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282,95.616,19-Sep-25,23-Sep-25
45,CA-2024-118255,11/3/2024,13/03/2024,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171,45.98,11-Mar-24,13-Mar-24
46,CA-2024-118255,11/3/2024,13/03/2024,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291,17.46,11-Mar-24,13-Mar-24
47,CA-2022-146703,20/10/2022,25/10/2022,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713,211.96,20-Oct-22,25-Oct-22
48,CA-2024-169194,20/06/2024,25/06/2024,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167,45,20-Jun-24,25-Jun-24
49,CA-2024-169194,20/06/2024,25/06/2024,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,21.8,20-Jun-24,25-Jun-24
50,CA-2023-115742,18/04/2023,22/04/2023,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410,38.22,18-Apr-23,22-Apr-23
51,CA-2023-115742,18/04/2023,22/04/2023,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,OFF-LA-10002762,75.18,18-Apr-23,22-Apr-23
52,CA-2023-115742,18/04/2023,22/04/2023,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706,6.16,18-Apr-23,22-Apr-23
53,CA-2023-115742,18/04/2023,22/04/2023,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061,89.99,18-Apr-23,22-Apr-23
54,CA-2024-105816,11/12/2024,17/12/2024,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,OFF-FA-10000304,15.26,11-Dec-24,17-Dec-24
55,CA-2024-105816,11/12/2024,17/12/2024,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447,1029.95,11-Dec-24,17-Dec-24
56,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,OFF-ST-10000604,208.56,17-Jun-24,18-Jun-24
57,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,OFF-PA-10001569,32.4,17-Jun-24,18-Jun-24
58,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968,319.41,17-Jun-24,18-Jun-24
59,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587,14.56,17-Jun-24,18-Jun-24
60,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167,30,17-Jun-24,18-Jun-24
61,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,OFF-BI-10001460,48.48,17-Jun-24,18-Jun-24
62,CA-2024-111682,17/06/2024,18/06/2024,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,OFF-AR-10001868,1.68,17-Jun-24,18-Jun-24
63,CA-2023-135545,24/11/2023,30/11/2023,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633,13.98,24-Nov-23,30-Nov-23
64,CA-2023-135545,24/11/2023,30/11/2023,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078,25.824,24-Nov-23,30-Nov-23
65,CA-2023-135545,24/11/2023,30/11/2023,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,OFF-PA-10003892,146.73,24-Nov-23,30-Nov-23
66,CA-2023-135545,24/11/2023,30/11/2023,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397,79.76,24-Nov-23,30-Nov-23
67,US-2023-164175,30/04/2023,5/5/2023,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001147,213.115,30-Apr-23,5-May-23
68,CA-2022-106376,5/12/2022,10/12/2022,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671,1113.024,5-Dec-22,10-Dec-22
69,CA-2022-106376,5/12/2022,10/12/2022,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,TEC-PH-10002726,167.968,5-Dec-22,10-Dec-22
70,CA-2024-119823,4/6/2024,6/6/2024,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482,75.88,4-Jun-24,6-Jun-24
71,CA-2024-106075,18/09/2024,23/09/2024,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,OFF-BI-10004654,4.616,18-Sep-24,23-Sep-24
72,CA-2025-114440,14/09/2025,17/09/2025,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675,19.05,14-Sep-25,17-Sep-25
73,US-2023-134026,26/04/2023,2/5/2023,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513,831.936,26-Apr-23,2-May-23
74,US-2023-134026,26/04/2023,2/5/2023,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708,97.04,26-Apr-23,2-May-23
75,US-2023-134026,26/04/2023,2/5/2023,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,OFF-ST-10004123,72.784,26-Apr-23,2-May-23
76,US-2025-118038,9/12/2025,11/12/2025,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,OFF-BI-10004182,1.248,9-Dec-25,11-Dec-25
77,US-2025-118038,9/12/2025,11/12/2025,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,9.708,9-Dec-25,11-Dec-25
78,US-2025-118038,9/12/2025,11/12/2025,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,27.24,9-Dec-25,11-Dec-25
79,US-2022-147606,26/11/2022,1/12/2022,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,19.3,26-Nov-22,1-Dec-22
80,CA-2024-127208,12/6/2024,15/06/2024,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,208.16,12-Jun-24,15-Jun-24
81,CA-2024-127208,12/6/2024,15/06/2024,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309,16.74,12-Jun-24,15-Jun-24
82,CA-2022-139451,12/10/2022,16/10/2022,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053,14.9,12-Oct-22,16-Oct-22
83,CA-2022-139451,12/10/2022,16/10/2022,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370,21.39,12-Oct-22,16-Oct-22
84,CA-2023-149734,3/9/2023,8/9/2023,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927,200.984,3-Sep-23,8-Sep-23
85,US-2025-119662,13/11/2025,16/11/2025,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656,230.376,13-Nov-25,16-Nov-25
86,CA-2025-140088,28/05/2025,30/05/2025,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863,301.96,28-May-25,30-May-25
87,CA-2025-155558,26/10/2025,2/11/2025,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998,19.99,26-Oct-25,2-Nov-25
88,CA-2025-155558,26/10/2025,2/11/2025,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,OFF-LA-10000134,6.16,26-Oct-25,2-Nov-25
89,CA-2024-159695,5/4/2024,10/4/2024,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,OFF-ST-10003442,158.368,5-Apr-24,10-Apr-24
90,CA-2024-109806,17/09/2024,22/09/2024,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,OFF-AR-10004930,20.1,17-Sep-24,22-Sep-24
91,CA-2024-109806,17/09/2024,22/09/2024,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093,73.584,17-Sep-24,22-Sep-24
92,CA-2024-109806,17/09/2024,22/09/2024,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,OFF-PA-10000304,6.48,17-Sep-24,22-Sep-24
93,CA-2023-149587,31/01/2023,5/2/2023,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,OFF-PA-10003177,12.96,31-Jan-23,5-Feb-23
94,CA-2023-149587,31/01/2023,5/2/2023,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799,53.34,31-Jan-23,5-Feb-23
95,CA-2023-149587,31/01/2023,5/2/2023,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,OFF-BI-10002852,32.96,31-Jan-23,5-Feb-23
